First Name,Last Name,Team,Position,Height(inches),Weight(pounds),Age
Craig,Hansen,BOS,Relief Pitcher,78,210,23.29
Nick,Markakis,BAL,Outfielder,74,185,23.29
Scott,Moore,CHC,First Baseman,74,180,23.29
Jose,Lopez,SEA,Second Baseman,74,170,23.27
Carlos,Villanueva,MLW,Starting Pitcher,74,190,23.26
Matt,Garza,MIN,Starting Pitcher,76,185,23.26
Fausto,Carmona,CLE,Relief Pitcher,76,220,23.23
Hanley,Ramirez,FLA,Shortstop,75,195,23.19
Cole,Hamels,PHI,Starting Pitcher,75,175,23.18
Jon,Lester,BOS,Starting Pitcher,74,190,23.15
Jeff,Francoeur,ATL,Outfielder,76,220,23.14
Scott,Olsen,FLA,Starting Pitcher,76,198,23.13
Mike,Pelfrey,NYM,Starting Pitcher,79,190,23.13
Erick,Aybar,ANA,Shortstop,70,170,23.13
Ubaldo,Jimenez,COL,Starting Pitcher,76,200,23.1
Scott,Kazmir,TB,Starting Pitcher,72,170,23.1
Josh,Johnson,FLA,Starting Pitcher,79,240,23.08
Jeremy,Hermida,FLA,Outfielder,76,200,23.08
Dioner,Navarro,TB,Catcher,70,190,23.06
Brian,McCann,ATL,Catcher,75,210,23.03
Scott,Mathieson,PHI,Starting Pitcher,75,190,23.01
Anibal,Sanchez,FLA,Starting Pitcher,72,180,23.01
Adam,Donachie,BAL,Catcher,74,180,22.99
Adam,Loewen,BAL,Starting Pitcher,78,219,22.89
Andres,Blanco,KC,Shortstop,70,155,22.89
Ambiorix,Burgos,NYM,Relief Pitcher,72,180,22.86
Robert,Andino,FLA,Shortstop,72,170,22.85
Edward,Mujica,CLE,Relief Pitcher,74,220,22.81
Prince,Fielder,MLW,First Baseman,72,260,22.81
James,Loney,LA,First Baseman,75,200,22.81
Joakim,Soria,KC,Relief Pitcher,75,185,22.78
Emiliano,Fruto,WAS,Relief Pitcher,75,235,22.73
Jonathan,Broxton,LA,Relief Pitcher,76,240,22.7
Elijah,Dukes,TB,Outfielder,74,220,22.68
Yorman,Bazardo,DET,Relief Pitcher,74,202,22.64
Alexi,Casilla,MIN,Second Baseman,69,160,22.61
Chad,Billingsley,LA,Starting Pitcher,72,244,22.59
Boone,Logan,CWS,Relief Pitcher,77,200,22.55
Melky,Cabrera,NYY,Outfielder,71,170,22.55
Marcos,Carvajal,NYM,Relief Pitcher,76,175,22.53
B.J.,Upton,TB,Third Baseman,75,180,22.52
Joaquin,Arias,TEX,Shortstop,73,160,22.44
Matt,Kemp,LA,Outfielder,76,230,22.43
Ryan,Zimmerman,WAS,Third Baseman,75,210,22.42
Matt,Cain,SF,Starting Pitcher,75,216,22.41
Oswaldo,Navarro,SEA,Shortstop,72,150,22.41
Troy,Tulowitzki,COL,Shortstop,75,205,22.39
Hayden,Penn,BAL,Starting Pitcher,75,185,22.38
Jesus,Flores,WAS,Catcher,73,180,22.34
Joel,Zumaya,DET,Relief Pitcher,75,210,22.31
Cesar,Jimenez,SEA,Relief Pitcher,71,180,22.3
Yusmeiro,Petit,FLA,Relief Pitcher,72,230,22.27
Jose,Garcia,FLA,Relief Pitcher,71,165,22.14
Fabio,Castro,PHI,Relief Pitcher,68,150,22.11
Eric,O'Flaherty,SEA,Relief Pitcher,74,195,22.06
Ryan,Sweeney,CWS,Outfielder,76,200,22.02
Lastings,Milledge,NYM,Outfielder,72,187,21.9
Kelyn,Acosta,SF,Starting Pitcher,73,204,21.85
Andrew,Miller,DET,Relief Pitcher,78,210,21.78
Adam,Jones,SEA,Outfielder,74,200,21.58
Ryan,Feierabend,SEA,Starting Pitcher,75,190,21.52
Delmon,Young,TB,Outfielder,75,205,21.46
Felix,Hernandez,SEA,Starting Pitcher,75,225,20.9
,,,,,,
,,,,73.69729207,201.6892546,28.7367118
